"Block","Phase","Trial","RunningTime","Cue","Image","CorrResp","Resp","Accuracy","ISI","RT_from_CueOnset","ITI","subID"
2,2,138,487.52,4,4,4,4,1,4,0.79,1.5,2
2,2,139,497.29,3,3,3,3,1,8,0.6,1.5,2
2,2,140,511.06,1,1,1,1,1,6,0.72,8,2
2,2,141,529.33,1,1,1,1,1,4,0.68,6.5,2
2,2,142,544.1,1,1,1,2,0,4,5.67,8,2
2,2,143,560.36,1,2,2,1,0,8,1.72,3.5,2
2,2,144,576.13,1,2,2,1,0,6,2.34,0.5,2
2,2,145,586.9,2,1,1,2,0,4,0.75,8,2
2,2,146,603.17,4,4,4,4,1,4,0.74,0.5,2
2,2,147,611.95,1,2,2,1,0,4,0.86,7.5,2
2,2,148,627.72,4,4,4,4,1,8,0.97,0.5,2
2,2,149,640.49,2,2,2,2,1,4,1.31,2.5,2
2,2,150,651.27,2,1,1,2,0,8,1.01,7.5,2
2,2,151,671.04,3,3,3,3,1,8,0.71,8,2
2,2,152,691.31,4,4,4,4,1,8,0.66,0.5,2
2,2,153,704.07,3,4,4,3,0,4,0.68,3.5,2
2,2,154,715.84,3,3,3,4,0,4,0.63,0.5,2
2,2,155,724.61,2,2,2,2,1,8,0.94,1.5,2
2,2,156,738.38,4,3,3,4,0,6,0.61,2.5,2
2,2,157,751.14,3,3,3,3,1,4,0.58,0.5,2
2,2,158,759.93,2,1,1,2,0,6,0.74,3.5,2
2,2,159,773.69,2,2,2,2,1,6,0.58,6.5,2
2,2,160,790.46,3,4,4,3,0,6,0.59,6.5,2
2,2,161,807.23,2,2,2,2,1,6,0.73,0.5,2
2,2,162,818,3,4,4,3,0,8,0.96,4.5,2
2,2,163,834.76,1,2,2,1,0,6,0.9,2.5,2
2,2,164,847.53,2,2,2,2,1,4,0.6,4.5,2
2,2,165,860.3,2,2,2,2,1,8,0.58,8,2
2,2,166,880.57,1,1,1,1,1,8,0.63,0.5,2
2,2,167,893.34,2,2,2,2,1,8,0.68,0.5,2
2,2,168,906.1,1,2,2,1,0,8,0.58,1.5,2
2,2,169,919.87,1,2,2,1,0,4,0.49,3.5,2
2,2,170,931.64,1,1,1,1,1,8,0.53,2.5,2
2,2,171,946.41,3,4,4,3,0,6,0.65,1.5,2
2,2,172,958.17,1,1,1,1,1,4,0.58,0.5,2
2,2,173,966.96,3,3,3,3,1,6,0.64,4.5,2
2,2,174,981.72,3,4,4,3,0,6,0.61,1.5,2
2,2,175,993.49,4,3,3,4,0,8,9.97,1.5,2
2,2,176,1007.26,3,3,3,3,1,4,0.73,4.5,2
2,2,177,1020.03,4,4,4,4,1,8,0.87,0.5,2
2,2,178,1032.79,2,2,2,1,0,4,0.74,1.5,2
2,2,179,1042.58,2,2,2,2,1,6,0.5,0.5,2
2,2,180,1053.35,4,4,4,4,1,8,0.81,8,2
1,1,1,0.51,3,3,3,NA,NA,1,NA,0.5,3
1,1,2,5.3,2,2,2,NA,NA,1,NA,1.5,3
1,1,3,11.08,1,2,2,NA,NA,1,NA,0.5,3
1,1,4,15.86,4,4,4,NA,NA,1,NA,0.5,3
1,1,5,20.65,3,3,3,NA,NA,1,NA,0.5,3
1,1,6,25.43,1,2,2,NA,NA,1,NA,0.5,3
1,1,7,30.22,1,1,1,NA,NA,1,NA,0.5,3
1,1,8,35,4,4,4,NA,NA,1,NA,0.5,3
1,1,9,39.78,2,2,2,1,0,1,3.55,1.5,3
1,1,10,45.57,1,1,1,2,0,1,0.75,3.5,3
1,1,11,53.35,2,2,2,2,1,1,0.57,5.5,3
1,1,12,63.13,2,1,1,1,1,1,0.48,2.5,3
1,1,13,69.92,4,3,3,4,0,1,0.95,0.5,3
1,1,14,74.7,4,3,3,3,1,1,0.71,0.5,3
1,1,15,79.49,3,4,4,2,0,1,0.81,2.5,3
1,1,16,86.27,1,2,2,2,1,1,2.14,0.5,3
1,1,17,91.05,2,2,2,1,0,1,2.05,0.5,3
1,1,18,95.84,3,4,4,4,1,1,2.34,1.5,3
1,1,19,101.62,2,2,2,3,0,1,2.51,0.5,3
1,1,20,106.4,2,2,2,2,1,1,2.7,1.5,3
1,1,21,112.19,4,4,4,4,1,1,2.24,4.5,3
1,1,22,120.97,4,4,4,4,1,1,1.08,1.5,3
1,1,23,126.76,3,3,3,3,1,1,1.25,3.5,3
1,1,24,134.54,1,1,1,2,0,1,0.54,2.5,3
1,1,25,141.32,1,1,1,2,0,1,1.28,8,3
1,1,26,153.59,3,3,3,4,0,1,2.78,5.5,3
1,1,27,163.37,2,2,2,3,0,1,2.19,0.5,3
1,1,28,168.16,4,4,4,4,1,1,2.39,8,3
1,1,29,180.43,2,1,1,2,0,1,2.49,0.5,3
1,1,30,185.21,3,3,3,3,1,1,2.49,4.5,3
1,1,31,193.99,2,2,2,2,1,1,2.36,5.5,3
1,1,32,203.76,4,4,4,4,1,1,1.04,0.5,3
1,1,33,208.54,3,4,4,3,0,1,1.21,1.5,3
1,1,34,214.33,4,4,4,4,1,1,2.17,1.5,3
1,1,35,220.11,2,1,1,2,0,1,1.62,0.5,3
1,1,36,224.9,1,1,1,2,0,1,1.81,3.5,3
1,1,37,232.66,3,3,3,3,1,1,2.4,2.5,3
1,1,38,239.45,4,4,4,4,1,1,2.16,1.5,3
1,1,39,245.23,4,4,4,4,1,1,1.74,0.5,3
1,1,40,250.01,2,2,2,1,0,1,2.04,2.5,3
1,1,41,256.8,4,4,4,4,1,1,1.33,3.5,3
1,1,42,264.58,1,1,1,1,1,1,2.09,1.5,3
1,1,43,270.37,4,4,4,4,1,1,2.38,0.5,3
1,1,44,275.15,4,4,4,4,1,1,1.23,2.5,3
1,1,45,281.93,1,1,1,1,1,1,2.29,0.5,3
1,1,46,286.72,1,1,1,1,1,1,2.28,0.5,3
1,1,47,291.5,1,1,1,1,1,1,1.14,1.5,3
1,1,48,297.28,1,1,1,1,1,1,1.44,0.5,3
1,1,49,302.07,4,4,4,4,1,1,1.07,1.5,3
1,1,50,307.85,4,3,3,3,1,1,3.27,0.5,3
1,1,51,312.63,4,3,3,4,0,1,1.57,0.5,3
1,1,52,317.42,1,1,1,1,1,1,1.27,4.5,3
1,1,53,326.2,3,3,3,2,0,1,1.15,1.5,3
1,1,54,331.99,1,1,1,2,0,1,2.1,1.5,3
1,1,55,337.77,2,2,2,2,1,1,1.85,0.5,3
1,1,56,342.55,4,3,3,4,0,1,1.39,0.5,3
1,1,57,347.34,3,3,3,3,1,1,2.35,1.5,3
1,1,58,353.12,2,1,1,2,0,1,1.37,3.5,3
1,1,59,360.9,4,4,4,4,1,1,2.32,1.5,3
1,1,60,366.69,3,4,4,3,0,1,2.32,1.5,3
1,1,61,372.47,4,4,4,4,1,1,2.42,1.5,3
1,1,62,378.26,4,4,4,4,1,1,2.12,1.5,3
1,1,63,384.04,1,1,1,1,1,1,1.41,0.5,3
1,1,64,388.82,4,4,4,4,1,1,2.46,5.5,3
1,1,65,398.61,3,3,3,3,1,1,1.3,4.5,3
1,1,66,407.39,1,1,1,1,1,1,1.33,0.5,3
