subID,RT,faceChoice,carChoice,faceCorrect,carCorrect,cueIdx,coh1,coh2,stimOnsetTime,respTime,timeout,accuracy
1,650,0,1,0,1,1,0,1,1221385,1222035,0,1
1,800,0,1,0,1,1,1,0,1224884,1225684,0,1
1,633,1,0,1,0,2,0,1,1228266,1228899,0,1
1,1033,1,0,1,0,2,0,1,1231682,1232715,0,1
1,583,0,1,0,1,1,0,1,1235347,1235930,0,1
1,900,0,1,1,0,2,0,1,1238696,1239596,0,0
1,683,0,1,0,1,0,1,0,1242395,1243078,0,1
1,933,0,1,0,1,1,1,0,1246044,1246977,0,1
1,550,0,1,0,1,1,1,0,1249609,1250159,0,1
1,950,0,1,1,0,2,1,0,1252708,1253658,0,0
1,650,0,1,0,1,0,0,1,1256540,1257190,0,1
1,599,1,0,1,0,2,1,0,1260056,1260655,0,1
1,650,0,1,0,1,1,0,1,1263604,1264254,0,1
1,699,0,1,0,1,1,1,0,1267037,1267736,0,1
1,650,1,0,1,0,0,0,1,1270402,1271052,0,1
1,883,0,1,0,1,2,0,1,1273884,1274767,0,1
1,600,1,0,1,0,2,0,1,1277333,1277933,0,1
1,649,0,1,0,1,0,1,0,1280516,1281165,0,1
1,616,0,1,0,1,1,0,1,1283765,1284381,0,1
1,784,1,0,1,0,2,1,0,1287063,1287847,0,1
1,599,0,1,0,1,1,1,0,1290596,1291195,0,1
1,950,0,1,0,1,2,0,1,1294111,1295061,0,1
1,834,1,0,1,0,2,1,0,1298076,1298910,0,1
1,867,1,0,1,0,0,1,0,1301625,1302492,0,1
1,933,1,0,1,0,1,1,0,1305141,1306074,0,1
1,749,0,1,0,1,1,0,1,1308940,1309689,0,1
1,650,0,1,0,1,1,1,0,1312688,1313338,0,1
1,750,0,1,0,1,1,1,0,1316270,1317020,0,1
1,666,1,0,1,0,0,0,1,1319886,1320552,0,1
1,533,0,1,0,1,1,0,1,1323568,1324101,0,1
1,717,0,1,0,1,1,0,1,1326750,1327467,0,1
1,683,0,1,0,1,0,1,0,1330283,1330966,0,1
1,750,1,0,1,0,0,1,0,1333881,1334631,0,1
1,833,1,0,1,0,2,1,0,1337330,1338163,0,1
1,566,1,0,1,0,0,0,1,1340796,1341362,0,1
1,600,1,0,1,0,2,0,1,1344211,1344811,0,1
1,566,1,0,1,0,2,0,1,1347677,1348243,0,1
1,1250,1,0,1,0,0,1,0,1350992,1352242,0,1
1,600,1,0,1,0,2,1,0,1355258,1355858,0,1
1,683,1,0,1,0,1,1,0,1358390,1359073,0,1
1,567,0,1,0,1,0,0,1,1362005,1362572,0,1
1,850,1,0,1,0,2,1,0,1365371,1366221,0,1
1,833,0,1,0,1,0,1,0,1369120,1369953,0,1
1,600,1,0,1,0,2,0,1,1372935,1373535,0,1
1,683,0,1,0,1,1,0,1,1376501,1377184,0,1
1,850,0,1,0,1,0,1,0,1379883,1380733,0,1
1,734,1,0,1,0,2,0,1,1383598,1384332,0,1
2,566,0,1,0,1,0,1,0,11716,12282,0,1
2,499,1,0,1,0,1,1,0,14965,15464,0,1
2,1233,0,1,0,1,1,0,1,18263,19496,0,1
2,650,0,1,0,1,1,0,1,22129,22779,0,1
2,650,1,0,0,1,0,0,1,25628,26278,0,0
2,500,1,0,1,0,1,0,1,29210,29710,0,1
2,500,1,0,1,0,1,0,1,32292,32792,0,1
2,767,1,0,0,1,0,1,0,35574,36341,0,0
2,550,1,0,1,0,1,1,0,39290,39840,0,1
2,900,1,0,0,1,1,1,0,42472,43372,0,0
2,616,1,0,0,1,0,1,0,46088,46704,0,0
2,483,1,0,1,0,0,0,1,49603,50086,0,1
2,417,1,0,1,0,2,0,1,53085,53502,0,1
2,500,1,0,1,0,1,0,1,56518,57018,0,1
2,649,1,0,0,1,0,0,1,59567,60216,0,0
2,483,1,0,1,0,2,0,1,63149,63632,0,1
2,433,1,0,1,0,2,0,1,66431,66864,0,1
2,483,1,0,0,1,0,1,0,69397,69880,0,0
2,683,1,0,0,1,0,1,0,72829,73512,0,0
2,1183,1,0,0,1,2,1,0,76211,77394,0,0
2,450,1,0,1,0,2,0,1,80010,80460,0,1
2,450,1,0,1,0,2,1,0,83159,83609,0,1
2,683,0,1,0,1,1,0,1,86175,86858,0,1
2,600,0,1,0,1,1,1,0,89840,90440,0,1
